MAPLTATEI WORD,ENGLISH WORD,PoS,PRONUNCIATION,CLASS(ES),SINGULAR,PLURAL,DEFINITION
akha,animate,Noun,akʰa,inanimate,akha,akhaja,an animate object
atha,nail/claw,Noun,atʰa,animate,atha,athaja,"a fingernail, a claw, a part of the body used for attacking or scratching"
athore,root,Noun,atʰore,animate,athore,athoreja,"a root, the part of a plant that gives it water and nutrients"
awu,dog,Noun,awu,animal,awu,awuja,"a dog, or a four-legged creature that runs around and barks, can help with hunting"
epeu,mouth,Noun,epeu,animate,epeu,epeuja,"a mouth, the part of the body that takes in food or water"
ephao,grease/fat,Noun,epʰao,inanimate,ephao,ephaoja,"grease, fat, used to cook with, derived from animals"
epi,spouse/husband/wife/partner,Noun,epi,animate,epi,epija,"a spouse, a husband, a wife, a partner, a breeding mate (animals)"
erua,love,Noun,erua,inanimate,erua,eruaja,"Love, affection"
ewua,yesterday,Noun,ewua,inanimate,ewua,ewuaja,the day before today
fepa,year,Noun,(ɸ~f)epa,inanimate,fepa,fepaja,"a year, a full calendar cycle of 1405 (onesie-four nif five) days"
fīfo,moon,Noun,(ɸ~f)iː(ɸ~f)o,inanimate,fīfo,fīfoja,"The moon, the source of light in the night sky"
fōmbu,name,Noun,(ɸ~f)oːᵐbu,animate,fōmbu,fōmbuja,"A name, the identity of someone or something"
ipai,salt,Noun,ipai,inanimate,ipai,ipaija,"salt, white rocks/powder with a salty taste"
iwu,star,Noun,iwu,inanimate,iwu,iwuja,"a star, a point of light in the night sky"
kende,knee,Noun,keⁿde,animate,kende,kendeja,"a leg joint, needed to stand and walk"
khaku,horn,Noun,kʰaku,animal,khaku,khakuja,"a horn, a protrusion of bone that can be used for attacking or defending"
kho,tree,Noun,kʰo,animate,kho,khoja,"a tree, a container of leaves"
khoko,leaf,Noun,kʰoko,animate,khoko,khokoja,"a leaf, a part of a plant that does photosynthesis, a ""small tree"""
khomba,back (body),Noun,kʰoᵐba,animate,khomba,khombaja,a back
khundoi,rope/cord,Noun,kʰuⁿdoi,inanimate,khundoi,khundoija,"a rope, a cord, used for building, hunting or constructing a bow"
kīndu,liver,Noun,kiːⁿdu,animate,kīndu,kīnduja,"a liver, the part of the body that filters toxins, a delicacy"
lundose,day,Noun,luⁿdose,inanimate,lundose,lundoseja,"a day, a cycle of foursy hours"
